Category,Item,Description,Status,Notes,Date
Backlink Target,Domain,Target website domain,Identified,
Backlink Target,Page,Target page URL,Identified,
Backlink Target,Contact,Site contact name or email,Identified,
Backlink Target,Opportunity,Outreach type (guest post/resource/broken link),Identified,
Backlink Target,Anchor Text,Suggested anchor phrase,Identified,
Outreach,Email Sent,Date email sent,Pending,
Outreach,Response Status,Reply received / no response,Pending,
Outreach,Follow-Up Date,Date for follow-up outreach,Pending,
Result,Link Acquired,Yes/No,Pending,
Result,Link URL,Actual acquired link URL,Pending,
Monitoring,Referring Domains,Total referring domains,Tracked,
Monitoring,New Backlinks,New backlinks this period,Tracked,
Monitoring,Lost Backlinks,Backlinks lost this period,Tracked,
Monitoring,Referral Traffic,Sessions from backlinks,Tracked,
Monitoring,Conversions,Leads/sales from referral traffic,Tracked,
Site Audit,HTTPS,Valid certificate (yes/no),Checked,
Site Audit,Robots/Sitemap,robots.txt and sitemap.xml present,Checked,
Site Audit,GSC Verified,Search Console property verified,Checked,
Site Audit,Manual Actions,No manual penalties,Checked,
Site Audit,Page Errors,Important pages indexable,Checked,
Site Audit,NAP Consistency,Business info consistent across listings,Checked,
Site Audit,Schema,Structured data present where relevant,Checked
